verb,language,translation,mood,tense,person,pronoun,form
alkaa,Finnish,"to begin, start",indicative,present,3sg,Hän,alkaa
alkaa,Finnish,"to begin, start",indicative,present,1pl,Me,alamme
alkaa,Finnish,"to begin, start",indicative,present,2pl,Te,alatte
alkaa,Finnish,"to begin, start",indicative,present,3pl,He,alkavat
käydä,Finnish,"to visit",indicative,present,1sg,Minä,käyn
käydä,Finnish,"to visit",indicative,present,2sg,Sinä,käyt
käydä,Finnish,"to visit",indicative,present,3sg,Hän,käy
käydä,Finnish,"to visit",indicative,present,1pl,Me,käymme
käydä,Finnish,"to visit",indicative,present,2pl,Te,käytte
käydä,Finnish,"to visit",indicative,present,3pl,He,käyvät
toimia,Finnish,"to work, function",indicative,present,1sg,Minä,toimin
toimia,Finnish,"to work, function",indicative,present,2sg,Sinä,toimit
toimia,Finnish,"to work, function",indicative,present,3sg,Hän,toimii
toimia,Finnish,"to work, function",indicative,present,1pl,Me,toimimme
toimia,Finnish,"to work, function",indicative,present,2pl,Te,toimitte
toimia,Finnish,"to work, function",indicative,present,3pl,He,toimivat
